match_number,comp_level,team,alliance,auto points,taxi points,foul points,teleop points,endgame_points,hanger ranking pt,score,rp
3,qm,frc2471,red,10,6,0,55,30,True,65,3
3,qm,frc3636,red,10,6,0,55,30,True,65,3
3,qm,frc2046,red,10,6,0,55,30,True,65,3
3,qm,frc997,blue,2,2,0,21,21,True,23,1
3,qm,frc4662,blue,2,2,0,21,21,True,23,1
3,qm,frc5975,blue,2,2,0,21,21,True,23,1
30,qm,frc957,red,6,2,0,12,6,False,18,0
30,qm,frc3131,red,6,2,0,12,6,False,18,0
30,qm,frc2374,red,6,2,0,12,6,False,18,0
30,qm,frc3636,blue,12,6,0,69,36,True,81,4
30,qm,frc2898,blue,12,6,0,69,36,True,81,4
30,qm,frc2990,blue,12,6,0,69,36,True,81,4
31,qm,frc3024,red,10,6,0,23,15,False,33,0
31,qm,frc997,red,10,6,0,23,15,False,33,0
31,qm,frc1359,red,10,6,0,23,15,False,33,0
31,qm,frc3673,blue,12,4,4,40,25,True,56,3
31,qm,frc6443,blue,12,4,4,40,25,True,56,3
31,qm,frc4057,blue,12,4,4,40,25,True,56,3
32,qm,frc2635,red,6,2,0,18,12,False,24,2
32,qm,frc6343,red,6,2,0,18,12,False,24,2
32,qm,frc4127,red,6,2,0,18,12,False,24,2
32,qm,frc568,blue,4,4,0,6,6,False,10,0
32,qm,frc4450,blue,4,4,0,6,6,False,10,0
32,qm,frc5975,blue,4,4,0,6,6,False,10,0
33,qm,frc2046,red,20,4,12,35,15,False,67,2
33,qm,frc6696,red,20,4,12,35,15,False,67,2
33,qm,frc3131,red,20,4,12,35,15,False,67,2
33,qm,frc2733,blue,14,6,16,33,21,True,63,1
33,qm,frc2471,blue,14,6,16,33,21,True,63,1
33,qm,frc2374,blue,14,6,16,33,21,True,63,1
34,qm,frc1359,red,8,6,0,13,0,False,21,0
34,qm,frc3636,red,8,6,0,13,0,False,21,0
34,qm,frc3673,red,8,6,0,13,0,False,21,0
34,qm,frc2898,blue,14,2,0,32,6,False,46,2
34,qm,frc1425,blue,14,2,0,32,6,False,46,2
34,qm,frc1540,blue,14,2,0,32,6,False,46,2
35,qm,frc753,red,6,6,8,12,12,False,26,2
35,qm,frc4127,red,6,6,8,12,12,False,26,2
35,qm,frc4662,red,6,6,8,12,12,False,26,2
35,qm,frc5975,blue,10,2,4,1,0,False,15,0
35,qm,frc2635,blue,10,2,4,1,0,False,15,0
35,qm,frc957,blue,10,2,4,1,0,False,15,0
36,qm,frc5970,red,6,4,4,45,21,True,55,3
36,qm,frc568,red,6,4,4,45,21,True,55,3
36,qm,frc2046,red,6,4,4,45,21,True,55,3
36,qm,frc2733,blue,6,6,4,23,15,False,33,0
36,qm,frc3024,blue,6,6,4,23,15,False,33,0
36,qm,frc6696,blue,6,6,4,23,15,False,33,0
37,qm,frc997,red,12,6,0,41,25,True,53,1
37,qm,frc4057,red,12,6,0,41,25,True,53,1
37,qm,frc6443,red,12,6,0,41,25,True,53,1
37,qm,frc2915,blue,18,6,0,48,21,True,66,3
37,qm,frc2990,blue,18,6,0,48,21,True,66,3
37,qm,frc2471,blue,18,6,0,48,21,True,66,3
38,qm,frc6343,red,22,4,0,67,31,True,89,4
38,qm,frc3636,red,22,4,0,67,31,True,89,4
38,qm,frc1425,red,22,4,0,67,31,True,89,4
38,qm,frc4450,blue,6,2,0,6,6,False,12,0
38,qm,frc3131,blue,6,2,0,6,6,False,12,0
38,qm,frc2635,blue,6,2,0,6,6,False,12,0
39,qm,frc2898,red,8,4,4,15,6,False,27,2
39,qm,frc5975,red,8,4,4,15,6,False,27,2
39,qm,frc3673,red,8,4,4,15,6,False,27,2
39,qm,frc1359,blue,8,6,0,12,6,False,20,0
39,qm,frc4662,blue,8,6,0,12,6,False,20,0
39,qm,frc6696,blue,8,6,0,12,6,False,20,0
4,qm,frc3131,red,12,4,0,6,0,False,18,0
4,qm,frc4057,red,12,4,0,6,0,False,18,0
4,qm,frc1425,red,12,4,0,6,0,False,18,0
4,qm,frc3673,blue,4,4,16,7,4,False,27,2
4,qm,frc568,blue,4,4,16,7,4,False,27,2
